"faz_cod","talhao_cod","dt_plantio","corte","n","ops","status","mix","encers","encers_ok","fromPlantio","oss","processID","area","PL|H1","PL|AD","PL|QL","PL|H2","QL|H2","left","days","os_status","os_cod"
4220,1,2016-02-06,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-19|2016-05-09",TRUE,"18|46|73|93","2489|2912|3327|3495","4220|1|2016-02-06|93",13.29,18,46,73,93,20,"H1",-8,"E",2489
4220,2,2016-02-06,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-19|2016-05-09",TRUE,"18|46|73|93","2489|2912|3327|3495","4220|2|2016-02-06|93",13.82,18,46,73,93,20,"H1",-8,"E",2489
4220,3,2016-02-06,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-19|2016-05-09",TRUE,"18|46|73|93","2489|2912|3327|3495","4220|3|2016-02-06|93",1.84,18,46,73,93,20,"H1",-8,"E",2489
4220,4,2016-02-06,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-19|2016-05-09",TRUE,"18|46|73|93","2489|2912|3327|3495","4220|4|2016-02-06|93",2.03,18,46,73,93,20,"H1",-8,"E",2489
4220,5,2016-02-06,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-19|2016-05-09",TRUE,"18|46|73|93","2489|2912|3327|3495","4220|5|2016-02-06|93",5.16,18,46,73,93,20,"H1",-8,"E",2489
4240,1,2016-02-07,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-27|2016-04-19|2016-04-27|2016-05-05",TRUE,"20|72|80|88","2481|3043|3386|3472","4240|1|2016-02-07|93",19.3998875,20,72,80,88,8,"H1",-10,"E",2481
4235,1,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|1|2016-02-14|93",6.26,10,42,62,88,26,"H1",0,"E",2485
4235,2,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|2|2016-02-14|93",4.01,10,42,62,88,26,"H1",0,"E",2485
4235,3,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|3|2016-02-14|93",12.69,10,42,62,88,26,"H1",0,"E",2485
4235,4,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|4|2016-02-14|93",2.68,10,42,62,88,26,"H1",0,"E",2485
4235,5,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|5|2016-02-14|93",4.01,10,42,62,88,26,"H1",0,"E",2485
4235,6,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|6|2016-02-14|93",2.44,10,42,62,88,26,"H1",0,"E",2485
4235,7,2016-02-14,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-27|2016-04-16|2016-05-12",TRUE,"10|42|62|88","2485|2910|3329|3368","4235|7|2016-02-14|93",2.19,10,42,62,88,26,"H1",0,"E",2485
4234,1,2016-02-15,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-18|2016-05-09",TRUE,"9|37|63|84","2484|2911|3328|3494","4234|1|2016-02-15|93",0.58,9,37,63,84,21,"H1",1,"E",2484
4234,2,2016-02-15,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-18|2016-05-09",TRUE,"9|37|63|84","2484|2911|3328|3494","4234|2|2016-02-15|93",2.58,9,37,63,84,21,"H1",1,"E",2484
4234,3,2016-02-15,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-18|2016-05-09",TRUE,"9|37|63|84","2484|2911|3328|3494","4234|3|2016-02-15|93",13.73,9,37,63,84,21,"H1",1,"E",2484
4234,4,2016-02-15,"93",4,"H1|AD|QL|H2","E|E|E|E","allE","2016-02-24|2016-03-23|2016-04-18|2016-05-09",TRUE,"9|37|63|84","2484|2911|3328|3494","4234|4|2016-02-15|93",2.6,9,37,63,84,21,"H1",1,"E",2484
4244,1,2016-02-18,"93",4,"H1|QL|H2|AD","E|E|E|E","allE","2016-03-24|2016-04-23|2016-04-30|2016-05-05",TRUE,"35|65|72|77","2978|3326|3370|3350","4244|1|2016-02-18|93",3.1925,35,77,65,72,7,"H1",-25,"E",2978
4244,2,2016-02-18,"93",4,"H1|QL|H2|AD","E|E|E|E","allE","2016-03-24|2016-04-23|2016-04-30|2016-05-05",TRUE,"35|65|72|77","2978|3326|3370|3350","4244|2|2016-02-18|93",6.91,35,77,65,72,7,"H1",-25,"E",2978
4244,3,2016-02-18,"93",4,"H1|QL|H2|AD","E|E|E|E","allE","2016-03-24|2016-04-23|2016-04-30|2016-05-05",TRUE,"35|65|72|77","2978|3326|3370|3350","4244|3|2016-02-18|93",0.28,35,77,65,72,7,"H1",-25,"E",2978
